Pop/Disco,Electropop,Savant,Fire,2016-??-??,3:45,4
Hip Hop,Future Bass,Savant,Forsaken,2016-??-??,1:15,4
Pop/Disco,Electropop,Savant,Savior,2016-??-??,4:30,4
House,Progressive House,Bustre,Calamity,2016-07-15,2:50,4
Drum & Bass,Liquid Drum & Bass,Bustre,Devotion,2016-07-15,5:10,5
Hip Hop,Heaven Trap,Rich Edwards,Where I’ll Be Waiting VIP,2016-07-26,1:25,4
Pop/Disco,Synthpop,Anna Yvette & Laura Brehm,Summer Never Ends,2016-07-25,4:55,4
Electro House,Bass House,Tokyo Machine,PARTY,2016-07-22,2:35,4
Drum & Bass,Neurofunk,Droptek,Rupture,2016-07-20,5:00,2
Hip Hop,Future Bass,Didrick,Monstercat Live Performance (5 Year Anniversary Mix),2016-07-18,1:40,2
Dubstep,Riddim,Ponicz,Rowdy,2016-07-18,4:20,4
Dubstep,Riddim,Ponicz,Rippin,2016-07-18,2:45,4
Dubstep,Riddim,Ponicz,Turn Up,2016-07-18,5:15,4
Dubstep,Riddim,Ponicz,Technicolour,2016-07-18,1:30,3
Dubstep,Riddim,F3tch & Trampa,Juggernaut,2016-07-17,4:50,4
Hip Hop,Hybrid Twerk Trap,Hydraulix vs Oski,Skirt Safari,2016-07-16,2:40,5
Drumstep,Drumstep,Wiwek & Skrillex,Killa (feat. Elliphant) (Boombox Cartel & Aryay Remix),2016-07-15,5:05,5
Breakbeat,Electro Breaks,Wiwek & Skrillex,Killa (feat. Elliphant) (Henry Fong Remix),2016-07-15,1:20,5
Dubstep,Brostep,Wiwek & Skrillex,Killa (feat. Elliphant) (QUEST Remix),2016-07-15,4:35,5
Drumstep,Liquid Drumstep,Tristam,Before We Fade,2016-07-15,2:50,5
Drum & Bass,Jump Up,Muzzy,Crescendo (feat. MYLK),2016-07-14,5:10,4
Pop/Disco,Indie Dance,“Richard Caddock, WRLD,2016-07-13,1:25,4
House,Future House,Laszlo,Tribal,2016-07-12,4:45,4
Electro House,Electro House,Oneeva,November,2016-07-11,2:30,4
Electro House,Electro House,Oneeva,Purity,2016-07-11,5:00,4
Electro House,Bass House,Noisestorm,This Feeling,2016-07-11,1:35,4
Dubstep,Brostep,Dubloadz,Brainwashed,2016-07-11,4:20,2
Dubstep,Brostep,Dubloadz,Cuck Life (feat. Crichy Crich),2016-07-11,2:55,4
Dubstep,Brostep,Dubloadz,Solar Sheep,2016-07-11,5:15,1
Dubstep,Brostep,Dubloadz,Calamari (feat. Barely Alive),2016-07-11,1:30,1
Dubstep,Brostep,PhaseOne,UFO,2016-07-08,4:50,5
Electro House,Electro House,Feed Me,High Speed Weekend Survivor,2016-07-08,2:40,5
Electro House,Bass House,Feed Me,Stay Focused,2016-07-08,5:05,4
Dubstep,Brostep,Feed Me,Red Clouds (Serious Ting),2016-07-08,1:20,3
House,Future House,Feed Me,What It Feels Like (feat. Nina Nesbitt),2016-07-08,4:35,4
Hip Hop,Trap,Feed Me,Schizoid,2016-07-08,2:50,4
Electro House,Big Room House,Feed Me,Trouble (feat. KANEHOLLER),2016-07-08,5:10,4
Electro House,Bass House,Feed Me,American Cemetery,2016-07-08,1:25,4
Electro House,Moombahton,Feed Me,Life Raft,2016-07-08,4:45,5
Dubstep,Liquid Dubstep,Rogue,Imperfect Views,2016-07-08,2:30,4
Hip Hop,Hybrid Trap,Slips & Slurs,Divided VIP,2016-07-07,5:00,4
