
Playlist ole,Avaliacao do Usuario: 3
Dubstep,Brostep,Dubloadz,Brainwashed,2016-07-11,4:20,2,
Breakbeat,Progressive Breaks,Sundriver & Schodt,Here With Me (feat. Aida Fenhel) (Schodt Vocal Mix),2016-06-27,5:00,3
Electro House,Big Room House,Pegboard Nerds,Blackout,2016-07-06,1:35,5
Drumstep,Liquid Drumstep,Tristam,Before We Fade,2016-07-15,2:50,5
Drumstep,Drumstep,Stonebank,Soldier,2016-06-22,5:05,4

Playlist tec,Avaliacao do Usuario: 1
Drum & Bass,Liquid Drum & Bass,Rameses B,Darkest Place (feat. Aloma Steele),2016-06-27,4:50,1
Electro House,Bass House,Feed Me,American Cemetery,2016-07-08,1:25,4
Electro House,Bass House,Feed Me,Stay Focused,2016-07-08,5:05,4
Chillout,Downtempo,Stendahl & LaMeduza,You Get Me,2016-06-30,5:10,5
Reggae,Dancehall,Fountain Of Youth,Promises (Riddim),2016-07-01,4:30,5
Hip Hop,Festival Trap,Rickyxsan,Ain’t Really,2016-06-27,2:40,3
Pop/Disco,Indie Dance,“Richard Caddock, WRLD,2016-07-13,1:25,4
Breakbeat,Progressive Breaks,Sundriver & Schodt,Here With Me (feat. Aida Fenhel) (Schodt Vocal Mix),2016-06-27,5:00,3
Pop/Disco,Synthpop,Anna Yvette & Laura Brehm,Summer Never Ends,2016-07-25,4:55,5
Electro House,Complextro,Oskar Arvidsson,Time Travel,2016-06-27,1:25,5

Playlist the best
Breakbeat,Progressive Breaks,Abdomen Burst,Sky In Your Hands (Dynamic Illusion ‘Breaks’ Remix),2016-06-27,5:05,4
Drum & Bass,Jump Up,Muzzy,Crescendo (feat. MYLK),2016-07-14,5:10,4
Dubstep,Brostep,Dubloadz,Brainwashed,2016-07-11,4:20,2
Hip Hop,Hybrid Trap,Callie Reiff & Ronaissance,Tin Machine,2016-06-27,5:15,4
Hip Hop,Hybrid Trap,Eptic,What Have You Done,2016-06-24,2:55,4
Hip Hop,Future Bass,Savant,Forsaken,2016-??-??,1:15,4
Dubstep,Brostep,Feed Me,Red Clouds (Serious Ting),2016-07-08,1:20,3
Hip Hop,Future Bass,White Zoo,Let Go (feat. Pearl Andersson),2016-06-29,2:35,4
Breakbeat,Progressive Breaks,Derek Howell,Stride (Monojoke Remix),2016-06-27,5:15,1
Pop/Disco,Synthpop,Anna Yvette & Laura Brehm,Summer Never Ends,2016-07-25,4:55,5

Playlist Dub Hop,Avaliacao do Usuario: 3
Dubstep,Brostep,Feed Me,Red Clouds (Serious Ting),2016-07-08,1:20,3
Hip Hop,Heaven Trap,Rich Edwards,Where I’ll Be Waiting VIP,2016-07-26,1:25,4
Hip Hop,Trap,BASECAMP,esc (Swindail Remix),2016-06-24,5:15,5
Dubstep,Brostep,Eptic,Nightshade,2016-06-24,5:00,5
Dubstep,Brostep,Speo,Horizon,2016-06-27,1:30,4
Hip Hop,Hybrid Trap,Eptic,What Have You Done,2016-06-24,2:55,4
Dubstep,Brostep,Dubloadz,Calamari (feat. Barely Alive),2016-07-11,1:30,1
Dubstep,Liquid Dubstep,Rogue,Imperfect Views,2016-07-08,2:30,4
Dubstep,Brostep,Eptic,Shapeshift,2016-06-24,1:35,3
Hip Hop,Future Bass,DROELOE & Vinzere,Nothing Wrong,2016-06-28,1:40,5
Dubstep,Brostep,Wiwek & Skrillex,Killa (feat. Elliphant) (QUEST Remix),2016-07-15,4:35,5
Hip Hop,Future Bass,Didrick,Monstercat Live Performance (5 Year Anniversary Mix),2016-07-18,1:40,2
Dubstep,Riddim,Ponicz,Rippin,2016-07-18,2:45,4
Dubstep,Riddim,Ponicz,Rowdy,2016-07-18,4:20,4
Hip Hop,Future Bass,Savant,Forsaken,2016-??-??,1:15,4
Hip Hop,Hybrid Trap,Slips & Slurs,Divided VIP,2016-07-07,5:00,4
Dubstep,Brostep,SKisM,Experts (Barely Alive Remix) (Tryple VIP),2016-06-28,4:20,5
Dubstep,Brostep,Dubloadz,Solar Sheep,2016-07-11,5:15,1
Dubstep,Brostep,Dubloadz,Cuck Life (feat. Crichy Crich),2016-07-11,2:55,4
Dubstep,Riddim,Ponicz,Turn Up,2016-07-18,5:15,4


Playlist teste
Pop/Disco,Indie Dance,“Richard Caddock, WRLD,2016-07-13,1:25,4
Electro House,Electro House,Oneeva,Purity,2016-07-11,5:00,4
Hip Hop,Hybrid Trap,Slips & Slurs,Divided VIP,2016-07-07,5:00,4
Hip Hop,Future Bass,DROELOE & Vinzere,Nothing Wrong,2016-06-28,1:40,5
Breakbeat,Progressive Breaks,Illuminor & Dan Sieg,No Way Back Up,2016-06-27,2:30,5
Hip Hop,Trap,BASECAMP,esc (josh pan & X&G Remix),2016-06-24,1:30,1

Playlist teste
Dubstep,Riddim,F3tch & Trampa,Juggernaut,2016-07-17,4:50,4
Dubstep,Brostep,PhaseOne,UFO,2016-07-08,4:50,5
Dubstep,Brostep,Eptic,Shapeshift,2016-06-24,1:35,3
Dubstep,Brostep,Eptic,Swords & Dragons,2016-06-24,4:20,4
Dubstep,Brostep,Eptic,Nightshade,2016-06-24,5:00,5

Playlist teste3
Dubstep,Riddim,Ponicz,Rowdy,2016-07-18,4:20,4
Dubstep,Riddim,Ponicz,Rippin,2016-07-18,2:45,4
Dubstep,Brostep,Feed Me,Red Clouds (Serious Ting),2016-07-08,1:20,3

Playlist savant
Pop/Disco,Electropop,Savant,Savior,2016-??-??,4:30,4

Playlist savant2
Pop/Disco,Electropop,Savant,Savior,2016-??-??,4:30,4
